SN,ON_HOURS,NUM_OF_POWER_ONS,EXPECTED_MOTOR_ROTATIONS,SUPPOSED_MOTOR_ROTATIONS,ACTIVE_MILLING_HOURS,LCS_MAX,DAYS OFFLINE,DAYS SINCE VISIT,DAYS OFFLINE (LIVE),CATEGORY
15020013.0,5.25,1.0,980.0,980.0,1.66,15.0,37.0,94.0,46.0,Nontechnical
15020016.0,3.17,1.0,963.0,963.0,2.66,15.0,37.0,94.0,46.0,Nontechnical
15020028.0,0.24,1.0,48.0,48.0,0.19,15.0,37.0,94.0,46.0,Nontechnical
15020030.0,0.85,1.0,79.0,79.0,0.76,15.0,37.0,94.0,46.0,Nontechnical
15020035.0,4.13,1.0,51.0,51.0,0.11,15.0,37.0,94.0,46.0,Nontechnical
17010091.0,0.07,1.0,0.0,0.0,0.0,15.0,37.0,94.0,46.0,Nontechnical
17020139.0,0.16,1.0,55.0,55.0,0.13,15.0,37.0,94.0,46.0,Nontechnical
17020141.0,2.49,1.0,8.0,8.0,0.01,15.0,37.0,94.0,46.0,Nontechnical
17020142.0,0.93,1.0,0.0,0.0,0.0,15.0,37.0,94.0,46.0,Nontechnical
17020148.0,0.85,1.0,78.0,78.0,0.74,15.0,37.0,94.0,46.0,Nontechnical
17020151.0,3.06,1.0,3.0,3.0,0.06,15.0,37.0,94.0,46.0,Nontechnical
18040173.0,6.61,1.0,32.0,32.0,0.06,15.0,37.0,94.0,46.0,Nontechnical
18040174.0,9.2,1.0,0.0,0.0,0.0,15.0,37.0,94.0,46.0,Nontechnical
18040178.0,0.07,1.0,29.0,29.0,0.07,15.0,37.0,94.0,46.0,Nontechnical
18040181.0,1.13,1.0,84.0,88.0,0.68,15.0,37.0,94.0,46.0,Nontechnical
18040190.0,1.85,1.0,93.0,93.0,1.56,15.0,37.0,94.0,46.0,Nontechnical
18040192.0,3.43,1.0,950.0,951.0,3.35,15.0,37.0,94.0,46.0,Nontechnical
18040195.0,8.54,1.0,8.0,8.0,0.04,15.0,37.0,94.0,46.0,Nontechnical
18040197.0,9.95,1.0,1.0,1.0,0.02,15.0,37.0,94.0,46.0,Nontechnical
18040203.0,3.61,1.0,996.0,996.0,3.46,15.0,37.0,94.0,46.0,Nontechnical
18040206.0,6.85,1.0,58.0,58.0,4.93,15.0,37.0,94.0,46.0,Nontechnical
18040210.0,2.98,1.0,98.0,99.0,2.01,15.0,37.0,94.0,46.0,Nontechnical
18040214.0,2.32,1.0,0.0,0.0,0.0,15.0,37.0,94.0,46.0,Nontechnical
18040215.0,2.43,1.0,42.0,42.0,0.14,15.0,37.0,94.0,46.0,Nontechnical
18040219.0,2.43,1.0,53.0,53.0,0.16,15.0,37.0,94.0,46.0,Nontechnical
18040221.0,0.97,1.0,571.0,571.0,0.45,15.0,37.0,94.0,46.0,Nontechnical
18040226.0,0.07,1.0,7.0,7.0,0.01,15.0,37.0,94.0,46.0,Nontechnical
18040232.0,0.07,1.0,9.0,9.0,0.01,15.0,37.0,94.0,46.0,Nontechnical
18040233.0,0.07,1.0,55.0,55.0,0.03,15.0,37.0,94.0,46.0,Nontechnical
18040234.0,0.33,1.0,22.0,22.0,0.01,15.0,37.0,94.0,46.0,Nontechnical
18040240.0,4.5,1.0,97.0,271.0,0.67,15.0,37.0,94.0,46.0,Nontechnical
18040245.0,4.72,1.0,39.0,39.0,3.64,15.0,37.0,94.0,46.0,Nontechnical
18040251.0,0.16,1.0,0.0,0.0,0.0,15.0,37.0,94.0,46.0,Nontechnical
18040254.0,0.07,1.0,26.0,26.0,0.07,15.0,37.0,94.0,46.0,Nontechnical
18040257.0,0.54,1.0,37.0,37.0,0.47,15.0,37.0,94.0,46.0,Nontechnical
18040273.0,0.07,1.0,49.0,49.0,0.07,15.0,37.0,94.0,46.0,Nontechnical
18040274.0,0.07,1.0,14.0,14.0,0.06,15.0,37.0,94.0,46.0,Nontechnical
18040277.0,0.33,1.0,76.0,76.0,0.32,15.0,37.0,94.0,46.0,Nontechnical
18040281.0,0.07,1.0,20.0,20.0,0.01,15.0,37.0,94.0,46.0,Nontechnical
18040291.0,0.07,1.0,30.0,30.0,0.07,15.0,37.0,94.0,46.0,Nontechnical
18040293.0,6.16,1.0,81.0,81.0,0.19,15.0,46.0,67.0,55.0,Nontechnical
18040296.0,1.77,1.0,562.0,562.0,0.41,15.0,46.0,67.0,55.0,Nontechnical
18040298.0,1.77,1.0,562.0,562.0,0.41,15.0,46.0,67.0,55.0,Nontechnical
18040301.0,1.77,1.0,562.0,562.0,0.41,15.0,46.0,67.0,55.0,Nontechnical
18040304.0,1.62,1.0,2.0,2.0,0.01,15.0,46.0,67.0,55.0,Nontechnical
19060307.0,1.62,1.0,0.0,0.0,0.0,15.0,46.0,67.0,55.0,Nontechnical
19060315.0,1.62,1.0,1.0,1.0,0.0,15.0,46.0,67.0,55.0,Nontechnical
19060317.0,5.9,1.0,16.0,16.0,0.04,15.0,46.0,67.0,55.0,Nontechnical
19060322.0,7.61,1.0,825.0,825.0,0.59,15.0,46.0,67.0,55.0,Nontechnical
19060324.0,7.61,1.0,825.0,825.0,0.59,15.0,46.0,67.0,55.0,Nontechnical
19060326.0,6.59,1.0,972.0,972.0,2.29,15.0,46.0,67.0,55.0,Nontechnical
19060327.0,4.71,1.0,3270.0,3270.0,2.29,15.0,46.0,67.0,55.0,Nontechnical
19060328.0,3.36,1.0,14.0,14.0,0.01,15.0,46.0,67.0,55.0,Nontechnical
19060334.0,5.06,1.0,0.0,0.0,0.0,15.0,46.0,67.0,55.0,Nontechnical
19060345.0,5.06,1.0,0.0,0.0,0.0,15.0,46.0,67.0,55.0,Nontechnical
19060347.0,0.33,1.0,0.0,0.0,0.0,15.0,46.0,67.0,55.0,Nontechnical
19060349.0,9.98,1.0,0.0,0.0,0.0,15.0,46.0,67.0,55.0,Nontechnical
19060356.0,9.96,1.0,0.0,0.0,0.0,15.0,46.0,67.0,55.0,Nontechnical
19060358.0,3.44,1.0,10.0,10.0,0.0,15.0,46.0,67.0,55.0,Nontechnical
19060364.0,7.99,1.0,10.0,10.0,0.0,15.0,46.0,67.0,55.0,Nontechnical
19060382.0,9.97,1.0,0.0,0.0,0.0,15.0,46.0,67.0,55.0,Nontechnical
19060390.0,9.95,1.0,0.0,0.0,0.0,15.0,46.0,67.0,55.0,Nontechnical
19060392.0,5.49,1.0,0.0,0.0,0.0,15.0,46.0,67.0,55.0,Nontechnical
19060409.0,9.95,1.0,0.0,0.0,0.0,15.0,46.0,67.0,55.0,Nontechnical
19060413.0,9.93,1.0,0.0,0.0,0.0,15.0,46.0,67.0,55.0,Nontechnical
19060415.0,9.97,1.0,0.0,0.0,0.0,15.0,46.0,67.0,55.0,Nontechnical
19060416.0,9.95,1.0,0.0,0.0,0.0,15.0,46.0,67.0,55.0,Nontechnical
19060419.0,9.95,1.0,0.0,0.0,0.0,15.0,46.0,67.0,55.0,Nontechnical
19060439.0,20.44,1.0,0.0,0.0,0.0,15.0,46.0,67.0,55.0,Nontechnical
19060447.0,3.34,1.0,0.0,0.0,0.0,15.0,46.0,67.0,55.0,Nontechnical
